date,temperature,humidity,pressure,wind_speed,rainfall
2026-01-01,18.5,62,1012,8.5,0
2026-01-02,19.2,60,1011,7.8,0
2026-01-03,20.1,58,1010,6.9,0
2026-01-04,17.8,72,1008,10.2,2.4
2026-01-05,16.9,78,1007,12.1,5.8
2026-01-06,18.2,70,1009,9.5,1.2
2026-01-07,21.4,55,1013,6.2,0
2026-01-08,22.1,52,1014,5.8,0
2026-01-09,23.5,50,1015,5.1,0
2026-01-10,24.2,48,1016,4.7,0
2026-01-11,25.1,45,1015,5.2,0
2026-01-12,23.8,51,1012,7.4,0
2026-01-13,21.6,63,1010,9.1,1.5
2026-01-14,20.4,68,1009,10.5,3.2
2026-01-15,19.7,71,1008,11.3,4.7
2026-01-16,21.2,64,1011,8.2,0.8
2026-01-17,22.8,59,1013,6.5,0
2026-01-18,24.5,53,1014,5.6,0
2026-01-19,26.1,47,1015,4.9,0
2026-01-20,27.3,44,1016,4.3,0
2026-01-21,26.5,46,1015,5.1,0
2026-01-22,25.2,50,1013,6.4,0
2026-01-23,23.7,57,1011,8.0,0.5
2026-01-24,21.9,65,1009,9.8,2.1
2026-01-25,20.8,69,1008,11.0,4.0
2026-01-26,22.4,61,1010,8.7,0
2026-01-27,24.0,54,1012,6.9,0
2026-01-28,25.6,49,1014,5.5,0
2026-01-29,26.8,45,1015,4.8,0
2026-01-30,27.5,43,1016,4.1,0
